Invoice ID,Date,Customer type,Gender,Product line,Unit price,Quantity,Tax,Total,Payment,City,Discount,Month,Year,Day
246-71-9936,2019-12-20,Normal,Female,Health and beauty,83.36,9,37.51,787.75,Cash,Naypyitaw,0,12,2019,Friday
208-89-6504,2019-08-13,Normal,Female,Sports and travel,24.97,1,1.25,26.22,Credit card,Mandalay,15,8,2019,Tuesday
885-26-4954,2019-02-16,Member,Female,Electronic accessories,56.27,6,16.88,354.5,Ewallet,Naypyitaw,5,2,2019,Saturday
280-56-4429,2019-05-26,Normal,Female,Health and beauty,10.56,9,4.75,99.79,Cash,Mandalay,0,5,2019,Sunday
268-71-7634,2019-01-19,Normal,Male,Home and lifestyle,51.77,2,5.18,108.72,Credit card,Naypyitaw,5,1,2019,Saturday
144-43-8845,2019-04-05,Member,Female,Sports and travel,95.87,10,47.94,1006.64,Credit card,Naypyitaw,5,4,2019,Friday
174-28-6771,2019-03-01,Normal,Female,Fashion accessories,52.15,8,20.86,438.06,Ewallet,Yangon,5,3,2019,Friday
973-25-6017,2019-09-24,Normal,Female,Food and beverages,43.58,6,13.07,274.55,Credit card,Yangon,15,9,2019,Tuesday
343-65-6463,2019-07-22,Normal,Male,Home and lifestyle,89.02,6,26.71,560.83,Credit card,Mandalay,10,7,2019,Monday
887-30-9467,2019-09-20,Member,Male,Home and lifestyle,63.83,1,3.19,67.02,Ewallet,Mandalay,0,9,2019,Friday
377-39-3417,2019-11-09,Normal,Male,Food and beverages,66.38,1,3.32,69.7,Ewallet,Mandalay,15,11,2019,Saturday
238-81-5312,2019-01-27,Member,Female,Sports and travel,37.22,1,1.86,39.08,Cash,Naypyitaw,10,1,2019,Sunday
217-84-8944,2019-02-10,Member,Female,Food and beverages,40.25,1,2.01,42.26,Credit card,Yangon,0,2,2019,Sunday
670-69-2776,2019-02-13,Member,Female,Home and lifestyle,12.12,6,3.64,76.36,Cash,Yangon,15,2,2019,Wednesday
529-82-4272,2019-10-09,Normal,Male,Health and beauty,49.32,8,19.73,414.29,Credit card,Naypyitaw,0,10,2019,Wednesday
324-25-6164,2019-02-12,Normal,Female,Electronic accessories,62.74,10,31.37,658.77,Ewallet,Yangon,5,2,2019,Tuesday
569-79-3521,2019-10-01,Member,Female,Electronic accessories,81.29,7,28.45,597.48,Ewallet,Yangon,5,10,2019,Tuesday
236-71-3180,2019-07-28,Normal,Male,Sports and travel,49.0,5,12.25,257.25,Credit card,Yangon,0,7,2019,Sunday
829-73-9351,2019-01-03,Member,Male,Fashion accessories,52.03,6,15.61,327.79,Cash,Naypyitaw,0,1,2019,Thursday
945-42-7673,2019-02-18,Normal,Female,Food and beverages,47.4,5,11.85,248.85,Cash,Naypyitaw,10,2,2019,Monday
643-26-9732,2019-07-21,Member,Female,Sports and travel,47.22,8,18.89,396.65,Cash,Yangon,0,7,2019,Sunday
451-23-8582,2019-10-25,Member,Female,Home and lifestyle,21.51,4,4.3,90.34,Ewallet,Naypyitaw,15,10,2019,Friday
234-84-3352,2019-01-17,Normal,Female,Fashion accessories,44.19,3,6.63,139.2,Ewallet,Mandalay,5,1,2019,Thursday
588-72-2476,2019-11-01,Normal,Male,Food and beverages,11.25,9,5.06,106.31,Ewallet,Naypyitaw,10,11,2019,Friday
840-77-8724,2019-06-12,Member,Male,Sports and travel,99.32,7,34.76,730.0,Credit card,Naypyitaw,15,6,2019,Wednesday
197-46-7594,2019-02-28,Member,Male,Home and lifestyle,65.9,5,16.48,345.98,Credit card,Mandalay,10,2,2019,Thursday
210-98-4432,2019-03-04,Normal,Male,Fashion accessories,56.31,1,2.82,59.13,Credit card,Yangon,10,3,2019,Monday
648-86-4515,2019-05-12,Normal,Female,Food and beverages,36.73,1,1.84,38.57,Credit card,Yangon,10,5,2019,Sunday
444-71-8090,2019-12-17,Normal,Female,Sports and travel,52.06,8,20.82,437.3,Cash,Mandalay,10,12,2019,Tuesday
609-88-5132,2019-04-16,Member,Female,Food and beverages,96.3,8,38.52,808.92,Ewallet,Naypyitaw,0,4,2019,Tuesday
323-97-9016,2019-07-16,Member,Female,Fashion accessories,16.6,8,6.64,139.44,Cash,Naypyitaw,5,7,2019,Tuesday
573-91-6395,2019-01-03,Member,Male,Health and beauty,59.42,3,8.91,187.17,Ewallet,Yangon,15,1,2019,Thursday
378-70-5422,2019-03-06,Member,Male,Home and lifestyle,44.82,8,17.93,376.49,Credit card,Mandalay,15,3,2019,Wednesday
870-87-2292,2019-09-07,Member,Female,Sports and travel,37.15,7,13.0,273.05,Credit card,Yangon,10,9,2019,Saturday
954-80-7513,2019-05-02,Member,Female,Health and beauty,36.56,5,9.14,191.94,Credit card,Naypyitaw,5,5,2019,Thursday
262-21-1875,2019-05-10,Member,Male,Sports and travel,63.53,6,19.06,400.24,Credit card,Yangon,10,5,2019,Friday
737-67-8923,2019-01-13,Normal,Male,Food and beverages,32.72,10,16.36,343.56,Ewallet,Yangon,0,1,2019,Sunday
489-72-2612,2019-05-03,Normal,Male,Food and beverages,44.1,3,6.62,138.92,Ewallet,Naypyitaw,5,5,2019,Friday
304-26-1534,2019-02-20,Normal,Male,Electronic accessories,54.38,10,27.19,570.99,Cash,Mandalay,15,2,2019,Wednesday
476-78-5928,2019-01-04,Member,Male,Fashion accessories,63.66,3,9.55,200.53,Cash,Mandalay,15,1,2019,Friday
917-29-1195,2019-02-05,Normal,Female,Fashion accessories,32.41,3,4.86,102.09,Ewallet,Yangon,15,2,2019,Tuesday
745-58-6889,2019-01-22,Member,Male,Food and beverages,55.57,2,5.56,116.7,Credit card,Mandalay,5,1,2019,Tuesday
749-15-8749,2019-01-04,Member,Male,Food and beverages,25.72,2,2.57,54.01,Credit card,Mandalay,15,1,2019,Friday
700-26-2417,2019-10-18,Normal,Female,Home and lifestyle,66.74,8,26.7,560.62,Ewallet,Yangon,0,10,2019,Friday
776-25-1899,2019-05-02,Member,Female,Sports and travel,18.23,4,3.65,76.57,Credit card,Naypyitaw,10,5,2019,Thursday
715-67-4203,2019-09-13,Normal,Male,Home and lifestyle,19.97,7,6.99,146.78,Ewallet,Mandalay,10,9,2019,Friday
321-57-5211,2019-04-19,Member,Male,Home and lifestyle,72.37,4,14.47,303.95,Ewallet,Mandalay,10,4,2019,Friday
582-90-1489,2019-01-23,Normal,Male,Sports and travel,31.04,8,12.42,260.74,Cash,Mandalay,5,1,2019,Wednesday
549-95-7836,2019-09-13,Member,Female,Fashion accessories,34.33,8,13.73,288.37,Credit card,Yangon,5,9,2019,Friday
445-88-7646,2019-06-24,Member,Male,Food and beverages,42.72,2,4.27,89.71,Cash,Naypyitaw,0,6,2019,Monday
367-75-4284,2019-06-23,Member,Male,Food and beverages,66.96,2,6.7,140.62,Ewallet,Mandalay,5,6,2019,Sunday
911-96-2078,2019-10-05,Member,Male,Electronic accessories,23.26,5,5.82,122.12,Ewallet,Yangon,5,10,2019,Saturday
717-31-6920,2019-08-21,Normal,Male,Health and beauty,45.89,9,20.65,433.66,Cash,Naypyitaw,5,8,2019,Wednesday
213-86-5429,2019-11-05,Member,Male,Home and lifestyle,89.31,2,8.93,187.55,Ewallet,Mandalay,15,11,2019,Tuesday
554-17-3966,2019-10-25,Normal,Female,Health and beauty,34.26,2,3.43,71.95,Credit card,Mandalay,0,10,2019,Friday
548-64-7494,2019-12-17,Normal,Female,Food and beverages,48.79,9,21.96,461.07,Credit card,Mandalay,15,12,2019,Tuesday
792-33-7834,2019-08-16,Member,Female,Food and beverages,21.87,6,6.56,137.78,Ewallet,Naypyitaw,5,8,2019,Friday
753-14-9700,2019-05-04,Normal,Male,Electronic accessories,54.57,3,8.19,171.9,Cash,Yangon,10,5,2019,Saturday
584-40-3209,2019-09-29,Normal,Male,Health and beauty,49.53,9,22.29,468.06,Credit card,Mandalay,10,9,2019,Sunday
598-39-6123,2019-12-23,Normal,Male,Health and beauty,27.79,9,12.51,262.62,Credit card,Mandalay,5,12,2019,Monday
436-17-2835,2019-04-12,Normal,Male,Sports and travel,71.49,10,35.74,750.64,Cash,Naypyitaw,5,4,2019,Friday
722-45-2803,2019-10-26,Normal,Male,Fashion accessories,70.44,5,17.61,369.81,Cash,Yangon,0,10,2019,Saturday
815-55-2396,2019-03-20,Normal,Female,Electronic accessories,94.57,10,47.28,992.98,Cash,Naypyitaw,5,3,2019,Wednesday
248-38-7070,2019-04-13,Member,Male,Electronic accessories,24.98,2,2.5,52.46,Ewallet,Mandalay,0,4,2019,Saturday
645-87-4569,2019-03-08,Member,Male,Health and beauty,30.72,5,7.68,161.28,Credit card,Mandalay,15,3,2019,Friday
373-94-7879,2019-05-27,Normal,Female,Health and beauty,22.22,3,3.33,69.99,Credit card,Yangon,0,5,2019,Monday
101-28-9800,2019-03-13,Member,Female,Food and beverages,25.07,6,7.52,157.94,Cash,Naypyitaw,0,3,2019,Wednesday
964-29-1563,2019-06-22,Normal,Male,Sports and travel,81.07,3,12.16,255.37,Cash,Yangon,0,6,2019,Saturday
859-46-9253,2019-09-02,Member,Female,Fashion accessories,66.58,6,19.97,419.45,Ewallet,Mandalay,0,9,2019,Monday
957-63-5319,2019-11-25,Normal,Female,Electronic accessories,97.72,5,24.43,513.03,Cash,Naypyitaw,10,11,2019,Monday
714-18-6526,2019-02-02,Member,Male,Health and beauty,78.82,2,7.88,165.52,Credit card,Mandalay,0,2,2019,Saturday
804-32-7025,2019-07-20,Member,Male,Electronic accessories,78.19,5,19.55,410.5,Credit card,Yangon,5,7,2019,Saturday
431-90-8325,2019-03-09,Member,Female,Sports and travel,77.41,6,23.22,487.68,Ewallet,Mandalay,10,3,2019,Saturday
908-22-1888,2019-04-04,Normal,Male,Home and lifestyle,26.78,8,10.71,224.95,Ewallet,Mandalay,15,4,2019,Thursday
452-10-2311,2019-02-14,Normal,Male,Home and lifestyle,12.24,10,6.12,128.52,Credit card,Naypyitaw,15,2,2019,Thursday
518-41-2227,2019-11-07,Member,Male,Fashion accessories,69.45,9,31.25,656.3,Cash,Yangon,0,11,2019,Thursday
170-96-1709,2019-08-26,Normal,Female,Sports and travel,80.15,5,20.04,420.79,Credit card,Naypyitaw,0,8,2019,Monday
364-33-8979,2019-01-03,Member,Male,Fashion accessories,35.61,7,12.46,261.73,Credit card,Naypyitaw,0,1,2019,Thursday
838-16-1040,2019-10-02,Normal,Male,Fashion accessories,81.06,5,20.27,425.57,Cash,Mandalay,10,10,2019,Wednesday
893-53-1313,2019-02-14,Member,Female,Health and beauty,66.8,2,6.68,140.28,Ewallet,Naypyitaw,15,2,2019,Thursday
691-22-1981,2019-07-12,Member,Male,Sports and travel,82.81,2,8.28,173.9,Credit card,Yangon,0,7,2019,Friday
288-54-8220,2019-03-11,Normal,Female,Home and lifestyle,36.92,8,14.77,310.13,Cash,Mandalay,10,3,2019,Monday
252-56-8277,2019-07-23,Member,Male,Electronic accessories,79.47,10,39.74,834.44,Ewallet,Yangon,10,7,2019,Tuesday
141-83-6747,2019-01-12,Normal,Female,Fashion accessories,37.91,9,17.06,358.25,Cash,Naypyitaw,0,1,2019,Saturday
365-89-5726,2019-04-15,Member,Male,Fashion accessories,25.06,5,6.27,131.57,Credit card,Yangon,0,4,2019,Monday
511-55-4819,2019-07-21,Member,Female,Electronic accessories,58.64,1,2.93,61.57,Cash,Mandalay,0,7,2019,Sunday
434-51-3146,2019-11-05,Normal,Female,Health and beauty,42.41,1,2.12,44.53,Credit card,Yangon,0,11,2019,Tuesday
278-44-2764,2019-07-09,Normal,Male,Food and beverages,15.43,2,1.54,32.4,Credit card,Yangon,5,7,2019,Tuesday
284-99-2455,2019-08-19,Normal,Male,Sports and travel,58.6,7,20.51,430.71,Credit card,Mandalay,10,8,2019,Monday
344-28-2352,2019-05-14,Member,Female,Electronic accessories,44.08,5,11.02,231.42,Ewallet,Mandalay,15,5,2019,Tuesday
372-80-9531,2019-12-19,Member,Female,Health and beauty,40.67,6,12.2,256.22,Cash,Naypyitaw,0,12,2019,Thursday
315-13-4466,2019-06-27,Member,Male,Sports and travel,33.21,4,6.64,139.48,Ewallet,Mandalay,10,6,2019,Thursday
329-53-6428,2019-05-20,Member,Male,Health and beauty,99.42,3,14.91,313.17,Cash,Mandalay,10,5,2019,Monday
273-39-2925,2019-11-29,Normal,Female,Home and lifestyle,45.72,4,9.14,192.02,Credit card,Naypyitaw,15,11,2019,Friday
259-99-6022,2019-05-26,Normal,Female,Food and beverages,62.44,6,18.73,393.37,Cash,Naypyitaw,15,5,2019,Sunday
712-89-8448,2019-08-10,Normal,Female,Food and beverages,84.72,1,4.24,88.96,Cash,Yangon,0,8,2019,Saturday
717-95-7438,2019-07-01,Member,Male,Home and lifestyle,98.81,3,14.82,311.25,Credit card,Mandalay,0,7,2019,Monday
865-68-5569,2019-01-28,Normal,Female,Electronic accessories,97.65,10,48.83,1025.33,Ewallet,Mandalay,0,1,2019,Monday
148-81-3707,2019-12-29,Member,Female,Home and lifestyle,65.16,7,22.81,478.93,Cash,Naypyitaw,15,12,2019,Sunday
725-81-4040,2019-03-12,Member,Female,Health and beauty,13.25,10,6.62,139.12,Credit card,Naypyitaw,15,3,2019,Tuesday
584-82-2467,2019-06-12,Normal,Male,Electronic accessories,56.3,1,2.81,59.11,Credit card,Naypyitaw,15,6,2019,Wednesday
506-30-5746,2019-10-10,Member,Female,Food and beverages,46.65,1,2.33,48.98,Credit card,Mandalay,5,10,2019,Thursday
741-52-8133,2019-11-16,Member,Female,Sports and travel,58.93,9,26.52,556.89,Ewallet,Yangon,0,11,2019,Saturday
178-94-2787,2019-11-24,Normal,Male,Electronic accessories,89.0,5,22.25,467.25,Credit card,Naypyitaw,0,11,2019,Sunday
926-50-5071,2019-02-28,Member,Female,Electronic accessories,62.5,1,3.12,65.62,Credit card,Naypyitaw,10,2,2019,Thursday
457-10-3857,2019-02-28,Normal,Male,Sports and travel,68.05,6,20.41,428.71,Credit card,Mandalay,10,2,2019,Thursday
671-72-2140,2019-12-06,Normal,Female,Food and beverages,75.62,4,15.12,317.6,Cash,Naypyitaw,10,12,2019,Friday
221-61-4953,2019-03-29,Normal,Male,Food and beverages,61.62,1,3.08,64.7,Ewallet,Yangon,10,3,2019,Friday
445-18-7116,2019-01-07,Member,Male,Fashion accessories,69.94,3,10.49,220.31,Credit card,Mandalay,0,1,2019,Monday
763-39-1722,2019-09-19,Member,Female,Sports and travel,43.98,4,8.8,184.72,Ewallet,Mandalay,0,9,2019,Thursday
504-56-1888,2019-03-04,Member,Male,Health and beauty,39.23,5,9.81,205.96,Ewallet,Yangon,15,3,2019,Monday
266-38-2071,2019-12-07,Normal,Female,Sports and travel,60.92,9,27.41,575.69,Ewallet,Mandalay,10,12,2019,Saturday
540-33-8705,2019-04-20,Member,Male,Electronic accessories,53.49,1,2.67,56.16,Ewallet,Yangon,5,4,2019,Saturday
350-57-1500,2019-05-07,Member,Male,Fashion accessories,40.8,10,20.4,428.4,Cash,Yangon,0,5,2019,Tuesday
810-50-8322,2019-11-29,Member,Female,Sports and travel,20.06,7,7.02,147.44,Ewallet,Mandalay,10,11,2019,Friday
918-61-5836,2019-11-01,Member,Male,Sports and travel,75.23,1,3.76,78.99,Credit card,Naypyitaw,15,11,2019,Friday
695-75-4542,2019-10-20,Member,Male,Health and beauty,34.8,3,5.22,109.62,Ewallet,Mandalay,5,10,2019,Sunday
834-26-9816,2019-03-13,Normal,Female,Health and beauty,93.54,3,14.03,294.65,Cash,Yangon,15,3,2019,Wednesday
821-26-7066,2019-08-30,Normal,Female,Sports and travel,31.84,4,6.37,133.73,Ewallet,Naypyitaw,10,8,2019,Friday
186-44-4272,2019-08-06,Normal,Female,Home and lifestyle,14.37,10,7.18,150.88,Credit card,Yangon,15,8,2019,Tuesday
418-35-2342,2019-01-28,Normal,Male,Home and lifestyle,40.47,7,14.16,297.45,Credit card,Naypyitaw,5,1,2019,Monday
585-25-4961,2019-11-30,Normal,Male,Sports and travel,70.2,8,28.08,589.68,Ewallet,Naypyitaw,15,11,2019,Saturday
323-16-1522,2019-11-12,Member,Female,Home and lifestyle,94.0,2,9.4,197.4,Ewallet,Mandalay,15,11,2019,Tuesday
705-73-9490,2019-10-01,Normal,Male,Home and lifestyle,95.31,1,4.77,100.08,Cash,Yangon,0,10,2019,Tuesday
864-71-5520,2019-10-27,Normal,Male,Electronic accessories,98.92,9,44.51,934.79,Cash,Yangon,0,10,2019,Sunday
825-28-2534,2019-06-28,Member,Female,Electronic accessories,16.12,1,0.81,16.93,Ewallet,Yangon,0,6,2019,Friday
533-25-3561,2019-04-19,Member,Male,Food and beverages,77.65,5,19.41,407.66,Credit card,Yangon,10,4,2019,Friday
532-30-7400,2019-02-20,Normal,Female,Food and beverages,61.25,9,27.56,578.81,Cash,Naypyitaw,5,2,2019,Wednesday
202-22-6159,2019-02-28,Member,Female,Health and beauty,20.71,7,7.25,152.22,Credit card,Mandalay,10,2,2019,Thursday
754-41-4100,2019-06-16,Member,Male,Food and beverages,82.35,2,8.23,172.93,Credit card,Mandalay,0,6,2019,Sunday
317-15-1875,2019-09-22,Member,Female,Home and lifestyle,73.61,5,18.4,386.45,Ewallet,Yangon,10,9,2019,Sunday
240-22-7899,2019-05-02,Normal,Female,Home and lifestyle,96.41,2,9.64,202.46,Credit card,Mandalay,15,5,2019,Thursday
468-18-8815,2019-10-10,Member,Male,Home and lifestyle,38.25,6,11.48,240.98,Ewallet,Naypyitaw,10,10,2019,Thursday
150-52-9662,2019-05-14,Normal,Female,Fashion accessories,84.27,8,33.71,707.87,Cash,Yangon,0,5,2019,Tuesday
337-54-7337,2019-07-22,Member,Male,Fashion accessories,49.28,4,9.86,206.98,Credit card,Mandalay,0,7,2019,Monday
305-41-2895,2019-10-14,Normal,Male,Fashion accessories,22.67,6,6.8,142.82,Cash,Mandalay,5,10,2019,Monday
950-92-4237,2019-01-22,Normal,Female,Fashion accessories,15.22,4,3.04,63.92,Ewallet,Naypyitaw,0,1,2019,Tuesday
732-77-8311,2019-06-03,Normal,Female,Fashion accessories,14.09,2,1.41,29.59,Cash,Yangon,10,6,2019,Monday
966-78-2374,2019-09-26,Normal,Male,Health and beauty,26.78,1,1.34,28.12,Cash,Mandalay,5,9,2019,Thursday
622-95-3509,2019-01-04,Member,Female,Sports and travel,69.72,9,31.37,658.85,Cash,Mandalay,15,1,2019,Friday
557-48-3278,2019-11-22,Normal,Male,Sports and travel,69.64,8,27.86,584.98,Ewallet,Mandalay,5,11,2019,Friday
692-88-6834,2019-10-17,Normal,Female,Food and beverages,71.81,6,21.54,452.4,Cash,Yangon,10,10,2019,Thursday
381-44-7190,2019-12-28,Normal,Female,Electronic accessories,29.31,3,4.4,92.33,Ewallet,Naypyitaw,5,12,2019,Saturday
999-60-5009,2019-12-15,Normal,Male,Health and beauty,33.27,7,11.64,244.53,Credit card,Mandalay,15,12,2019,Sunday
361-98-4174,2019-08-15,Member,Male,Food and beverages,19.57,9,8.81,184.94,Cash,Yangon,15,8,2019,Thursday
242-53-9893,2019-09-18,Normal,Male,Fashion accessories,35.29,2,3.53,74.11,Credit card,Naypyitaw,15,9,2019,Wednesday
137-41-5411,2019-09-29,Normal,Female,Electronic accessories,25.38,4,5.08,106.6,Ewallet,Yangon,0,9,2019,Sunday
400-53-5792,2019-09-27,Member,Male,Sports and travel,20.96,2,2.1,44.02,Ewallet,Mandalay,5,9,2019,Friday
716-48-8740,2019-06-14,Normal,Female,Electronic accessories,25.37,3,3.81,79.92,Credit card,Mandalay,15,6,2019,Friday
608-95-9141,2019-02-22,Normal,Female,Sports and travel,32.16,1,1.61,33.77,Ewallet,Mandalay,15,2,2019,Friday
218-73-4105,2019-09-19,Member,Female,Food and beverages,81.72,2,8.17,171.61,Credit card,Mandalay,5,9,2019,Thursday
840-16-1882,2019-10-13,Member,Male,Fashion accessories,22.03,5,5.51,115.66,Cash,Mandalay,10,10,2019,Sunday
527-32-7106,2019-08-21,Member,Male,Food and beverages,25.56,2,2.56,53.68,Ewallet,Yangon,5,8,2019,Wednesday
889-83-5354,2019-09-25,Normal,Female,Health and beauty,75.99,6,22.8,478.74,Credit card,Yangon,5,9,2019,Wednesday
374-71-7163,2019-01-24,Member,Female,Electronic accessories,38.0,10,19.0,399.0,Credit card,Mandalay,15,1,2019,Thursday
983-15-7799,2019-04-16,Normal,Female,Electronic accessories,42.21,6,12.66,265.92,Ewallet,Yangon,10,4,2019,Tuesday
465-74-9712,2019-01-02,Normal,Male,Fashion accessories,60.57,2,6.06,127.2,Credit card,Naypyitaw,5,1,2019,Wednesday
577-68-2066,2019-03-24,Normal,Male,Electronic accessories,29.62,6,8.89,186.61,Cash,Yangon,5,3,2019,Sunday
268-65-3331,2019-06-23,Member,Male,Health and beauty,47.35,4,9.47,198.87,Credit card,Yangon,5,6,2019,Sunday
616-78-9499,2019-01-05,Normal,Male,Home and lifestyle,68.28,8,27.31,573.55,Cash,Yangon,10,1,2019,Saturday
161-20-6969,2019-03-16,Member,Male,Food and beverages,88.42,10,44.21,928.41,Ewallet,Yangon,15,3,2019,Saturday
351-24-4916,2019-10-10,Member,Female,Health and beauty,13.86,8,5.54,116.42,Cash,Naypyitaw,5,10,2019,Thursday
268-59-7467,2019-04-25,Member,Male,Sports and travel,60.32,2,6.03,126.67,Ewallet,Yangon,5,4,2019,Thursday
220-40-6289,2019-05-09,Member,Female,Food and beverages,32.12,6,9.64,202.36,Ewallet,Naypyitaw,5,5,2019,Thursday
581-34-2227,2019-07-12,Normal,Male,Sports and travel,82.22,6,24.67,517.99,Cash,Naypyitaw,10,7,2019,Friday
778-58-8226,2019-05-09,Member,Male,Home and lifestyle,19.99,8,8.0,167.92,Credit card,Mandalay,5,5,2019,Thursday
427-37-5410,2019-01-07,Member,Female,Home and lifestyle,32.59,9,14.67,307.98,Ewallet,Naypyitaw,10,1,2019,Monday
615-79-7608,2019-09-06,Normal,Male,Electronic accessories,47.4,8,18.96,398.16,Ewallet,Mandalay,0,9,2019,Friday
865-60-1297,2019-08-04,Normal,Male,Home and lifestyle,96.69,2,9.67,203.05,Ewallet,Naypyitaw,15,8,2019,Sunday
361-46-8371,2019-07-29,Normal,Female,Fashion accessories,42.65,5,10.66,223.91,Ewallet,Naypyitaw,0,7,2019,Monday
446-98-2018,2019-06-28,Normal,Male,Home and lifestyle,72.86,5,18.21,382.51,Cash,Yangon,10,6,2019,Friday
670-36-5681,2019-07-14,Member,Male,Health and beauty,60.75,1,3.04,63.79,Ewallet,Mandalay,15,7,2019,Sunday
754-26-3848,2019-02-18,Normal,Male,Food and beverages,80.81,5,20.2,424.25,Credit card,Naypyitaw,0,2,2019,Monday
506-18-3463,2019-03-16,Normal,Male,Food and beverages,72.08,6,21.62,454.1,Cash,Naypyitaw,10,3,2019,Saturday
560-18-8987,2019-04-18,Normal,Male,Food and beverages,18.62,8,7.45,156.41,Cash,Mandalay,0,4,2019,Thursday
874-93-8745,2019-01-02,Normal,Female,Home and lifestyle,34.27,8,13.71,287.87,Credit card,Mandalay,15,1,2019,Wednesday
934-93-8579,2019-10-09,Normal,Female,Home and lifestyle,20.6,4,4.12,86.52,Credit card,Mandalay,10,10,2019,Wednesday
282-25-4971,2019-01-18,Member,Male,Electronic accessories,33.17,10,16.59,348.29,Credit card,Mandalay,15,1,2019,Friday
315-66-1429,2019-12-26,Normal,Male,Sports and travel,57.77,5,14.44,303.29,Ewallet,Mandalay,0,12,2019,Thursday
556-93-7880,2019-12-25,Member,Female,Health and beauty,97.31,9,43.79,919.58,Ewallet,Mandalay,15,12,2019,Wednesday
808-85-1772,2019-07-28,Normal,Male,Sports and travel,94.42,7,33.05,693.99,Ewallet,Mandalay,0,7,2019,Sunday
973-88-6197,2019-12-04,Normal,Male,Electronic accessories,82.91,9,37.31,783.5,Cash,Yangon,15,12,2019,Wednesday
607-15-4739,2019-12-03,Member,Male,Health and beauty,63.59,5,15.9,333.85,Credit card,Naypyitaw,15,12,2019,Tuesday
806-80-8968,2019-08-19,Normal,Male,Home and lifestyle,70.59,4,14.12,296.48,Credit card,Naypyitaw,5,8,2019,Monday
758-41-6936,2019-01-22,Normal,Male,Fashion accessories,33.78,1,1.69,35.47,Cash,Naypyitaw,5,1,2019,Tuesday
187-16-3407,2019-05-04,Normal,Male,Home and lifestyle,92.74,9,41.73,876.39,Credit card,Mandalay,5,5,2019,Saturday
